DATE,DFF
12/1/1972,5.332258065
1/1/1973,5.944516129
2/1/1973,6.584285714
3/1/1973,7.090322581
4/1/1973,7.124333333
5/1/1973,7.839354839
6/1/1973,8.491
7/1/1973,10.4
8/1/1973,10.49580645
9/1/1973,10.78466667
10/1/1973,10.01
11/1/1973,10.03366667
12/1/1973,9.947741935
1/1/1974,9.648387097
2/1/1974,8.971785714
3/1/1974,9.346129032
4/1/1974,10.513
5/1/1974,11.30612903
6/1/1974,11.933
7/1/1974,12.92290323
8/1/1974,12.00516129
9/1/1974,11.34333333
10/1/1974,10.05774194
11/1/1974,9.447666667
12/1/1974,8.530967742
1/1/1975,7.131612903
2/1/1975,6.240714286
3/1/1975,5.537419355
4/1/1975,5.492666667
5/1/1975,5.221290323
6/1/1975,5.548
7/1/1975,6.095806452
8/1/1975,6.135483871
9/1/1975,6.239
10/1/1975,5.816129032
11/1/1975,5.215666667
12/1/1975,5.195483871
1/1/1976,4.867741935
2/1/1976,4.770689655
3/1/1976,4.837419355
4/1/1976,4.816
5/1/1976,5.290645161
6/1/1976,5.476333333
7/1/1976,5.306451613
8/1/1976,5.290967742
9/1/1976,5.252
10/1/1976,5.02483871
11/1/1976,4.949
12/1/1976,4.651290323
1/1/1977,4.610967742
2/1/1977,4.683214286
3/1/1977,4.69
4/1/1977,4.727333333
5/1/1977,5.35
6/1/1977,5.388666667
7/1/1977,5.419354839
8/1/1977,5.901935484
9/1/1977,6.138333333
10/1/1977,6.465483871
11/1/1977,6.507666667
12/1/1977,6.560645161
1/1/1978,6.703548387
2/1/1978,6.784285714
3/1/1978,6.793225806
4/1/1978,6.888666667
5/1/1978,7.36
6/1/1978,7.596666667
7/1/1978,7.810645161
8/1/1978,8.035806452
9/1/1978,8.449333333
10/1/1978,8.955483871
11/1/1978,9.755
12/1/1978,10.02870968
1/1/1979,10.07096774
2/1/1979,10.05857143
3/1/1979,10.08870968
4/1/1979,10.01033333
5/1/1979,10.24193548
6/1/1979,10.29166667
7/1/1979,10.4716129
8/1/1979,10.93612903
9/1/1979,11.42833333
10/1/1979,13.76870968
11/1/1979,13.18033333
12/1/1979,13.77870968
1/1/1980,13.81677419
2/1/1980,14.1262069
3/1/1980,17.19225806
4/1/1980,17.60766667
5/1/1980,10.98322581
6/1/1980,9.472
7/1/1980,9.025806452
8/1/1980,9.605483871
9/1/1980,10.872
10/1/1980,12.81354839
11/1/1980,15.84866667
12/1/1980,18.89612903
1/1/1981,19.08451613
2/1/1981,15.93428571
3/1/1981,14.70387097
4/1/1981,15.719
5/1/1981,18.51774194
6/1/1981,19.09966667
7/1/1981,19.03580645
8/1/1981,17.81774194
9/1/1981,15.874
10/1/1981,15.08
11/1/1981,13.307
12/1/1981,12.36903226
1/1/1982,13.22064516
2/1/1982,14.77928571
3/1/1982,14.67774194
4/1/1982,14.937
5/1/1982,14.45483871
6/1/1982,14.15266667
7/1/1982,12.58677419
8/1/1982,10.11903226
9/1/1982,10.30966667
10/1/1982,9.707096774
11/1/1982,9.196333333
12/1/1982,8.945483871
1/1/1983,8.683225806
2/1/1983,8.508928571
3/1/1983,8.766129032
4/1/1983,8.802
5/1/1983,8.63
6/1/1983,8.982
7/1/1983,9.367741935
8/1/1983,9.558387097
9/1/1983,9.448
10/1/1983,9.476129032
11/1/1983,9.34
12/1/1983,9.471290323
1/1/1984,9.558387097
2/1/1984,9.587586207
3/1/1984,9.913225806
4/1/1984,10.291
5/1/1984,10.31935484
6/1/1984,11.06166667
7/1/1984,11.23419355
8/1/1984,11.63709677
9/1/1984,11.30266667
10/1/1984,9.985483871
11/1/1984,9.425666667
12/1/1984,8.381612903
1/1/1985,8.349032258
2/1/1985,8.501428571
3/1/1985,8.577419355
4/1/1985,8.267333333
5/1/1985,7.970967742
6/1/1985,7.533333333
7/1/1985,7.883870968
8/1/1985,7.898387097
9/1/1985,7.921333333
10/1/1985,7.986451613
11/1/1985,8.050666667
12/1/1985,8.274516129
1/1/1986,8.14483871
2/1/1986,7.86
3/1/1986,7.479032258
4/1/1986,6.988
5/1/1986,6.852903226
6/1/1986,6.916666667
7/1/1986,6.557096774
8/1/1986,6.170645161
9/1/1986,5.890333333
10/1/1986,5.845806452
11/1/1986,6.039333333
